graph_edge_id,source,target,legacy_source_edge_ref,source_type,production_state,evidence_level,current_meaning,unlock_or_visibility,physical_travel_implied,notes
VIS-E01-021,R03-L04,R03-L05,21 | R03-L04→R03-L05 | P2/boss_branch,P2/boss_branch,TBD,INSUFFICIENT,Historical C03 boss-branch continuation; current production meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-022,R02-L03,R02-L04,22 | R02-L03→R02-L04 | P2/boss_branch,P2/boss_branch,TBD,INSUFFICIENT,Historical C02 boss-branch continuation; current production meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-023,R02-L04,R02-L05,23 | R02-L04→R02-L05 | P2/boss_branch,P2/boss_branch,TBD,INSUFFICIENT,Historical C02 boss-branch continuation; current production meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-024,R04-L03,R04-L04,24 | R04-L03→R04-L04 | P2/boss_branch,P2/boss_branch,TBD,INSUFFICIENT,Historical C04 boss-branch continuation; current production meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-025,R04-L04,R04-L05,25 | R04-L04→R04-L05 | P2/boss_branch,P2/boss_branch,TBD,INSUFFICIENT,Historical C04 boss-branch continuation; current production meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-026,R06-L03,R06-L04,26 | R06-L03→R06-L04 | P2/boss_branch,P2/boss_branch,TBD,INSUFFICIENT,Historical C06 boss-branch continuation; current production meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-027,R06-L04,R06-L05,27 | R06-L04→R06-L05 | P2/boss_branch,P2/boss_branch,TBD,INSUFFICIENT,Historical C06 boss-branch continuation; current production meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-028,R08-L03,R05-L01,28 | R08-L03→R05-L01 | P2/remote_signal,P2/remote_signal,SOURCE_REFERENCED,CANONICAL_PM,Remote signal is a visibility/information candidate only.,REMOTE_VISIBILITY_SOURCE,NO,Explicitly not physical travel and not Campaign dependency.
VIS-E01-029,R05-L01,R05-L02,29 | R05-L01→R05-L02 | P2/remote_signal,P2/remote_signal,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C05 remote/source progression reference; current production trigger is not yet defined.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-030,R05-L02,R05-L03,30 | R05-L02→R05-L03 | P2/remote_signal,P2/remote_signal,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C05 remote/source progression reference; current production trigger is not yet defined.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-031,R05-L03,R05-L04,31 | R05-L03→R05-L04 | P2/remote_signal,P2/remote_signal,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C05 remote/source progression reference; current production trigger is not yet defined.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-032,R05-L04,R05-L05,32 | R05-L04→R05-L05 | P2/remote_signal,P2/remote_signal,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C05 remote/source progression reference; current production trigger is not yet defined.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-033,R07-L01,R07-L02,33 | R07-L01→R07-L02 | P2/blockade,P2/blockade,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C07 blockade progression reference; current travel and unlock semantics require production evidence.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-034,R07-L02,R07-L03,34 | R07-L02→R07-L03 | P2/blockade,P2/blockade,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C07 blockade progression reference; current travel and unlock semantics require production evidence.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-035,R07-L03,R07-L04,35 | R07-L03→R07-L04 | P2/blockade,P2/blockade,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C07 blockade progression reference; current travel and unlock semantics require production evidence.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-036,R07-L04,R07-L05,36 | R07-L04→R07-L05 | P2/blockade,P2/blockade,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C07 blockade progression reference; current travel and unlock semantics require production evidence.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-037,R08-L04,R08-L05,37 | R08-L04→R08-L05 | P2/internal_crisis,P2/internal_crisis,TBD,INSUFFICIENT,Historical C08 internal-crisis continuation; current trigger and production meaning are not defined.,TBD,NO,Legacy source is preserved without current promotion.
