source_path,target_path,category,text_or_binary,source_size,source_hash,github_status,readback_status,authority,notes
mystery-proof-20260906-011128/PLAYTEST_V3.md,docs/story/research/mystery_event_proof_20260906/PLAYTEST_V3.md,mystery-proof,text,3291,875a14bebc15fcaeafad564dfe879f98ff6647854f1d686fd945558541d180ec,RECOVERED,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T20:40:43.983Z; commit=98385f3950879e1014dedfa560860489b71882bf"
mystery-proof-20260906-011128/story.py,docs/story/research/mystery_event_proof_20260906/story.py,mystery-proof,text,10934,027fec1358101707800e8f96c41affbff53d73765d56e79987b7833ae96edffa,RECOVERED,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T20:39:33.526Z; commit=7e78d357b6bafd8dd9612e4c101ea92434d0b67a"
mystery-proof-20260906-011128/verify.py,docs/story/research/mystery_event_proof_20260906/verify.py,mystery-proof,text,5626,a1822efa7159b281a49bc1df04d3f58a9531b9be7f70bc6e21e62bfee5111548,RECOVERED,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T16:13:52.691Z; commit=82a93fc4466305adc3a354f1781c5cb1566d4740"
mystery-proof-20260906-011128/results-20260906-053934-341706/REPORT.md,docs/story/research/mystery_event_proof_20260906/REPORT.md,mystery-proof,text,7481,0cd3617bbd20e5e76ae2376507acac40141c68fcdf9c8cdea48645975b9cc703,RECOVERED,PASS,WORLD_SYSTEM_PROOF,"latest REPORT; modified=2026-09-05T20:39:34.344Z; commit=b1770d05bf7d0b9e5fde0e5c8b082bb0f7414a94"
motion-proof-20260905-145830/README.md,docs/animation/research/motion_pipeline_proof_20260905/README.md,motion-proof,text,9328,92c79f15f8dddb0ae2b837d2de0c02c5b8ab10744c02bab01843de65a81e805e,RECOVERED,PASS,TECH_PIPELINE_PROOF,"modified=2026-09-05T06:16:06.737Z; commit=bb369fb97db2582594b68f073d61944d64c41ea8"
motion-proof-20260905-145830/failure-ledger.md,docs/animation/research/motion_pipeline_proof_20260905/failure-ledger.md,motion-proof,text,4040,63fc1331d2f6524694bec4e9b2dffd46f9cc20f55355d3ceca26e1a2806b00a2,RECOVERED,PASS,TECH_PIPELINE_PROOF,"modified=2026-09-05T06:16:06.620Z; commit=edd9e8ebd023f07f1739f5cf960589020f7f3a7b"
motion-proof-20260905-145830/run03/evidence/final_checks.json,docs/animation/research/motion_pipeline_proof_20260905/final_checks.json,motion-proof,text,2377,810165daa78c7b90bb5ad77b300a53f8230afd3e91f257e21491b97610a86ce1,RECOVERED_JSON_WHITESPACE_NORMALIZED,PASS,TECH_PIPELINE_PROOF,"modified=2026-09-05T06:14:01.577Z; values preserved; commit=a5e3fdb1912eb4145a853a7cf38e7c827e22a4f2"
motion-proof-20260905-145830/run03/robot.blend,docs/archive/technical_proofs/motion_pipeline/robot.blend,motion-proof,binary,154356,3d3932470cdaa6bc78490a719f960ab80fb028fa172f16da31cf55873d34595b,BINARY_RECOVERY_PENDING,N/A,BINARY_PENDING,"modified=2026-09-05T06:11:41.950Z; generic binary read unavailable; no placeholder"
motion-proof-20260905-145830/run03/robot.glb,docs/archive/technical_proofs/motion_pipeline/robot.glb,motion-proof,binary,427072,64c16b45fb01a12a9f1ce370efe4c4103b617562d8b7fc74d8338b8d3339fc75,BINARY_RECOVERY_PENDING,N/A,BINARY_PENDING,"modified=2026-09-05T06:11:41.936Z; generic binary read unavailable; no placeholder"
motion-proof-20260905-145830/build_robot_v03.py,docs/archive/technical_proofs/motion_pipeline/build_robot_v03.py,motion-proof,text,9728,ffb25274ccc6a51019fc86f1c05f6ebcd0ac40d64f87a6539f4f609fe9d8d6eb,RECOVERED_PM_CORRECTED_PATH,PASS,TECH_PIPELINE_PROOF,"old approved path=run03/build_robot_v03.py; PM correction approved; README confirms root generator; recovery commit=1f0731e89d900071d499ba323d08548f1e5c3453"
motion-proof-20260905-145830/assemble.py,docs/archive/technical_proofs/motion_pipeline/assemble.py,motion-proof,text,2151,fa905ebb524814408be9f055be3b30151ab375de37a0a30b4ff62cf8a2cb0957,RECOVERED_PM_CORRECTED_PATH,PASS,TECH_PIPELINE_PROOF,"old approved path=run03/assemble.py; PM correction approved; README confirms root assembly/check script; recovery commit=1f0731e89d900071d499ba323d08548f1e5c3453"
