campaign_id,sector_id,campaign_family,current_display_name,status,regional_secondary_collapse,infrastructure_anchor,gameplay_law,human_recognition_rule,resource_ecology_status,persistence_profile_status,differentiation_status,family_boundary_status,service_dependency_status,persistence_definition_status,notes
E02_C03,E02,C03,역전 수령함 회수권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E02_C04,E02,C04,정밀부품 리콜권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E02_C05,E02,C05,재난안내 생방송권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_4_BROADCAST; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E02_C06,E02,C06,편의점 멤버십권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E02_C07,E02,C07,지하철 환승 심사권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E02_C08,E02,C08,무음 대피소권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E03_C01,E03,C01,스마트단지 입주권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E03_C02,E03,C02,도시보험 진료권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E03_C03,E03,C03,초대형 분류항 회수권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_3_PORT_RECOVERY; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E03_C04,E03,C04,제조클러스터 정품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E03_C05,E03,C05,플랫폼 추천권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E03_C06,E03,C06,라이브커머스 회원권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E03_C07,E03,C07,항만통관 이동권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_2_CUSTOMS; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E03_C08,E03,C08,지하 배급망권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E04_C01,E04,C01,수상주거 가족권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E04_C02,E04,C02,열대격리 진료권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E04_C03,E04,C03,배달앱 회수권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E04_C04,E04,C04,침수충전 정품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E04_C05,E04,C05,관광추천 수신권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E04_C06,E04,C06,야시장 멤버십권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E04_C07,E04,C07,페리검역 통행권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E04_C08,E04,C08,고지대 보급권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E05_C01,E05,C01,고밀도 세대등록권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E05_C02,E05,C02,대기열 진료권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,PARTIAL,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_1_MEDICAL_WAIT; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E05_C03,E05,C03,철도소포 반품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E05_C04,E05,C04,전력피크 충전권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E05_C05,E05,C05,모바일 안내 수신권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E05_C06,E05,C06,초저가 회원권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E05_C07,E05,C07,철도탑승 통행권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E05_C08,E05,C08,공동급수 보급권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E06_C01,E06,C01,냉방주거 입주권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E06_C02,E06,C02,프리미엄 케어권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E06_C03,E06,C03,자동배송 회수권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E06_C04,E06,C04,에너지 정품충전권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E06_C05,E06,C05,스마트시티 추천권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E06_C06,E06,C06,몰 VIP 결제권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E06_C07,E06,C07,공항검역 이송권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E06_C08,E06,C08,물배급 대피권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E07_C01,E07,C01,임대복지 거주권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E07_C02,E07,C02,보험통합 진료권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E07_C03,E07,C03,철도물류 반품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E07_C04,E07,C04,산업표준 정품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E07_C05,E07,C05,공영안내 수신권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_4_BROADCAST; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E07_C06,E07,C06,박람회 회원권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E07_C07,E07,C07,통관철도 통행권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_2_CUSTOMS; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E07_C08,E07,C08,방공대피 보급권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E08_C01,E08,C01,관광숙박 거주권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E08_C02,E08,C02,해안격리 진료권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E08_C03,E08,C03,항만창고 회수권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_3_PORT_RECOVERY; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E08_C04,E08,C04,수리조선 정품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E08_C05,E08,C05,관광안내 수신권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E08_C06,E08,C06,면세상권 회원권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E08_C07,E08,C07,피난검역 통행권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E08_C08,E08,C08,성채형 보급권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E09_C01,E09,C01,교외단지 가족권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_5_HOUSING; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E09_C02,E09,C02,병원네트워크 진료권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E09_C03,E09,C03,고속도로 반품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E09_C04,E09,C04,오대호 공업 정품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E09_C05,E09,C05,케이블뉴스 수신권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E09_C06,E09,C06,대형마트 멤버십권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E09_C07,E09,C07,주간이동 통행권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E09_C08,E09,C08,지하철역 보급권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E10_C01,E10,C01,산불대피 주거권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E10_C02,E10,C02,원격진료 보험권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E10_C03,E10,C03,구독배송 회수권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E10_C04,E10,C04,빅테크 정품권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E10_C05,E10,C05,알고리즘 추천권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E10_C06,E10,C06,앱스토어 결제권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E10_C07,E10,C07,항만내륙 이송권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E10_C08,E10,C08,산악 대피권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E11_C01,E11,C01,고지대 주거권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E11_C02,E11,C02,공공병원 진료권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E11_C03,E11,C03,항만시장 회수권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_3_PORT_RECOVERY; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E11_C04,E11,C04,전력복구 충전권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E11_C05,E11,C05,텔레노벨라 수신권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E11_C06,E11,C06,거리상권 회원권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E11_C07,E11,C07,버스터미널 통행권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E11_C08,E11,C08,성당/학교 보급권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E12_C01,E12,C01,해안정착 거주권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E12_C02,E12,C02,이동진료 승인권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
