"path","folder","type","decision","reason","next_action","commit_candidate"
"assets/art_inbox/r01_props/r01_state_*nameplate*","r01_props","trace_png","needs_rework","nameplate trace is story-locked but current variants need clearer split between prop and trace icon","redraw P0 trace set","false"
"assets/art_inbox/r01_props/r01_state_*family_photo*","r01_props","trace_png","needs_rework","family photo trace is story-locked but current variants need role clarity","redraw P0 trace set","false"
"assets/art_inbox/r01_props/r01_state_*receipt*","r01_props","trace_png","needs_rework","nameless receipt direction is story-fit but needs explicit trace form","redraw P0 trace set","false"
"assets/art_inbox/r01_props/*source*","r01_props","source_sheet","delete_candidate","source/chromakey sheets are not runtime candidates","exclude from repo commit","false"
"assets/art_inbox/r01_tiles/*.png","r01_tiles","tile_png","needs_rework","tiles are painterly patches and not placement-safe modular runtime tiles","rebuild grid/placement-safe R01 tile kit","false"
"assets/art_inbox/r01_decals/r01_state_fake_return_broken_floor_arrow_decal_v06.png","r01_decals","decal_png","needs_rework","strong fake-return story seed but must not read as real system objective arrow","test in mockup then redraw low-authority decal","false"
"assets/art_inbox/r01_decals/r01_decal_family_photo_afterimage_unstable_v02.png","r01_decals","decal_png","needs_rework","family photo afterimage matches memory extraction but needs opacity/gameplay pass","recreate for memory route","false"
"assets/art_inbox/r01_decals/r01_decal_broken_route_mark_v02.png","r01_decals","decal_png","needs_rework","broken route mark fits fake return route but needs UI confusion review","redraw with world-decal language","false"
"assets/art_inbox/r01_decals/r01_decal_player_enemy_shadow_common_v02.png","r01_decals","decal_png","delete_candidate","generic shadow decal is not story-specific and should not enter art pack","use engine shadow solution instead","false"
"assets/art_inbox/r01_ground_patches/*.png","r01_ground_patches","ground_png","reference_archive","ground patches show material direction but need density and placement rebuild","use as palette/reference only","false"
"assets/art_inbox/r01_hazards/*.png","r01_hazards","hazard_png","needs_rework","hazard ideas fit coupon/flyer/pressure roles but need gameplay telegraph testing","define final telegraph colors and redraw","false"
"assets/art_inbox/r01_map_markers/*.png","r01_map_markers","marker_png","reference_archive","map markers are not locked for 0.2 runtime and may conflict with diegetic UI","decide if map markers exist before art","false"
"assets/art_inbox/outpost/outpost_prop_recall_platform_v02.png","outpost","outpost_png","needs_rework","matches recovery platform role but needs outpost blockout and scale","redraw or normalize after outpost layout approval","false"
"assets/art_inbox/outpost/outpost_prop_settlement_counter_v02.png","outpost","outpost_png","needs_rework","matches settlement counter role but must feel like physical place not menu","rework with food/charge/receiver tag props","false"
"assets/art_inbox/outpost/outpost_prop_upgrade_bench_v02.png","outpost","outpost_png","needs_rework","matches repair bench role but needs Yunseo scanner/stamp integration","redraw as charging tuning workbench","false"
"assets/art_inbox/outpost/outpost_prop_name_archive_locker_v02.png","outpost","outpost_png","needs_rework","matches name archive role but needs trace storage states","redraw with nameplate/photo/receipt slots","false"
"assets/art_inbox/outpost/outpost_prop_sortie_board_v02.png","outpost","outpost_png","needs_rework","matches sortie board role but needs R01 state language","redraw as diegetic regional board","false"
"assets/art_inbox/outpost/outpost_facility_atlas_*","outpost","atlas","delete_candidate","atlas/source sheets are not final outpost runtime art","exclude until new layout is approved","false"
"assets/art_inbox/ui/ui_frame_hp_gauge_clean_v04.png","ui","ui_png","needs_rework","clean functional HP frame may be useful but needs story UI and Korean padding validation","test as temporary only after PMO exception","false"
"assets/art_inbox/ui/ui_frame_charge_gauge_clean_v04.png","ui","ui_png","needs_rework","clean charge frame may support Yunseo but must match outpost/tag fiction","test as temporary only after PMO exception","false"
"assets/art_inbox/ui/ui_panel_*_clean_v04.png","ui","ui_png","needs_rework","panel style is clean but risks menu feel without outpost fiction","redraw after UI copy and Korean layout test","false"
"assets/art_inbox/ui/ui_icon_category_*_clean_v*.png","ui","ui_png","delete_candidate","generic category icons are not locked story-facing assets","replace with tag/trace specific UI set","false"
"assets/art_inbox/ui/ui_*_v02.png","ui","ui_png","delete_candidate","older v02 UI duplicates are superseded by cleaner files and not final anyway","exclude from repo scope","false"
"assets/art_inbox/ui/ui_vfx*_atlas_*","ui","atlas","delete_candidate","combined source/alpha atlases are not approved runtime sheets","exclude unless rebuilt from final assets","false"
"assets/art_inbox/vfx/vfx_return_stamp_ready_frame_01_v04.png","vfx","vfx_png","needs_rework","return stamp VFX matches Yunseo but needs final Yunseo redraw and density test","rebuild with final stamp animation","false"
"assets/art_inbox/vfx/vfx_return_stamp_mark_clean_v04.png","vfx","vfx_png","needs_rework","return stamp mark matches core combat identity but is cache-recovered","rebuild as final VFX strip","false"
"assets/art_inbox/vfx/vfx_charger_warning_line_clean_v04.png","vfx","vfx_png","needs_rework","charger warning is useful but final palette must avoid gameplay confusion","test in 480x270 density mockup","false"
"assets/art_inbox/vfx/vfx_boss_warning_marker_clean_v04.png","vfx","vfx_png","needs_rework","boss warning marker is useful but boss identity is being redrawn","rebuild after boss telegraph spec","false"
"assets/art_inbox/vfx/vfx_particles_atomic_ad_atlas.png","vfx","vfx_png","delete_candidate","generic particle atlas is not tied to locked 0.2 story functions","exclude from final repo","false"
"assets/art_inbox/vfx/vfx_coupon_firework_v02.png","vfx","vfx_png","delete_candidate","firework effect risks generic ad spectacle instead of R01 mechanics","replace if coupon pattern needs specific telegraph","false"
"assets/art_inbox/mockups/r01_mock_960x540_world_crop.png","mockups","mockup","reference_archive","useful R01 world composition reference but not runtime art","keep only if PMO wants visual archive","false"
"assets/art_inbox/mockups/outpost_mock_480x270.png","mockups","mockup","reference_archive","useful outpost layout reference but not runtime art","keep only if PMO wants visual archive","false"
"assets/art_inbox/mockups/boss_encounter_mock_480x270.png","mockups","mockup","reference_archive","useful encounter composition reference but boss art itself is discarded","keep as rebuild brief reference","false"
"assets/art_inbox/mockups/r01_mock_480x270_*.png","mockups","mockup","delete_candidate","density variants duplicate world crop/reference role","exclude after one reference is chosen","false"
"assets/art_inbox/contact_sheets/generated_source_overview_contact_sheet_v02.png","contact_sheets","contact_sheet","reference_archive","useful overview for PMO review only","do not commit unless preserving review archive","false"
"assets/art_inbox/contact_sheets/r01_modular_environment_contact_sheet.png","contact_sheets","contact_sheet","reference_archive","useful R01 ecology reference despite no runtime approval","do not commit as runtime asset","false"
"assets/art_inbox/contact_sheets/*_v03.png","contact_sheets","contact_sheet","delete_candidate","older contact sheets are duplicate review artifacts","exclude from repo scope","false"
"assets/art_inbox/contact_sheets/*_v04.png","contact_sheets","contact_sheet","delete_candidate","older or discarded visual contact sheets are not final art","preserve only selected latest sheets externally","false"
"assets/art_inbox/contact_sheets/*slice_guide_overlay*","contact_sheets","technical_sheet","delete_candidate","large technical overlays are operational artifacts not repo runtime assets","store off-repo if needed","false"
"assets/art_inbox/contact_sheets/ui_vfx_clean_functional_contact_sheet_v06.png","contact_sheets","contact_sheet","reference_archive","latest UI/VFX reference sheet is useful for discussion only","do not commit as runtime","false"
"assets/art_inbox/contact_sheets/yunseo_pose_contact_sheet_v05.png","contact_sheets","contact_sheet","reference_archive","useful only to document discarded Yunseo direction","keep as rejection reference if needed","false"
"assets/art_inbox/contact_sheets/boss_combat_lod_cues_contact_sheet_v04.png","contact_sheets","contact_sheet","reference_archive","useful only to document discarded boss cue direction","keep as rejection reference if needed","false"
"assets/art_inbox/rejected/*.png","rejected","rejected_png","rejected_archive","has learning value but should not live in main repo or LFS","preserve ledger only or external archive","false"
"assets/art_inbox/rejected/*.png.import","rejected","sidecar","delete_candidate","Godot sidecars for rejected images must not enter repo","delete from future repo scope","false"
"assets/style_samples/**","out_of_scope","external","reference_archive","explicitly out of scope for this task","do not judge in this report","false"
